dataset,metric,old_value,verified_value,status,notes
zepto_v2.csv,column_count,9,9,MATCH,
zepto_v2.csv,column_names,Category|name|mrp|discountPercent|availableQuantity|discountedSellingPrice|weightInGms|outOfStock|quantity,Category|name|mrp|discountPercent|availableQuantity|discountedSellingPrice|weightInGms|outOfStock|quantity,MATCH,
zepto_v2.csv,duplicate_row_count,2,2,MATCH,
zepto_v2.csv,Category.missing_count,0,0,MATCH,
zepto_v2.csv,name.missing_count,0,0,MATCH,
zepto_v2.csv,mrp.missing_count,0,0,MATCH,
zepto_v2.csv,discountPercent.missing_count,0,0,MATCH,
zepto_v2.csv,availableQuantity.missing_count,0,0,MATCH,
zepto_v2.csv,discountedSellingPrice.missing_count,0,0,MATCH,
zepto_v2.csv,weightInGms.missing_count,0,0,MATCH,
zepto_v2.csv,outOfStock.missing_count,0,0,MATCH,
zepto_v2.csv,quantity.missing_count,0,0,MATCH,
