age,account_age_days,customer_segment,country,platform,device_type,payment_method,product_category,avg_order_value_usd,is_high_value_item,discount_used,order_date,return_date,days_to_return,return_reason,shipping_carrier,multiple_accounts_flag,wishlist_to_cart_time_hrs,total_returns_lifetime,total_orders_lifetime,return_rate_pct,customer_support_contacts,previous_dispute_count,refund_amount_requested_usd,customer_return_count_prior,returns_last_30d_prior,returns_last_90d_prior,total_returns_lifetime_prior,abuse_label
41,1865,New,IN,Tablet App,iPad,Debit Card,Furniture,39.09,0,0,2023-07-06,2023-08-02,27,Too Small,FedEx,0,39.4,7,69,10.1,1,0,36.29,0,0,0,0,0
50,1336,Silver,US,Tablet App,Windows PC,Debit Card,Grocery,153.2,0,1,2023-11-10,2023-11-30,20,Found Better Price,USPS,0,52.2,24,31,77.4,2,3,141.33,0,0,0,0,1
22,445,Bronze,US,Web Browser,MacBook,Buy Now Pay Later,Home & Kitchen,294.35,1,0,2022-12-06,2022-12-20,14,Arrived Late,DHL,0,7.0,0,38,0.0,1,0,284.82,0,0,0,0,0
23,936,Gold,IN,Mobile App,Windows PC,Credit Card,Tools,111.94,0,0,2022-08-18,2022-09-05,18,Defective/Broken,OnTrac,0,28.3,44,108,40.7,2,0,106.85,0,0,0,0,1
61,100,Silver,AU,Tablet App,MacBook,Credit Card,Sports,229.62,1,0,2023-08-11,2023-09-03,23,Defective/Broken,FedEx,0,45.0,0,33,0.0,1,1,208.76,0,0,0,0,0
58,621,Platinum,US,Web Browser,iPad,Debit Card,Electronics,278.31,1,0,2023-01-02,2023-01-12,10,Defective/Broken,FedEx,0,42.9,2,21,9.5,0,1,269.73,0,0,0,0,0
33,1099,Gold,US,Web Browser,Windows PC,PayPal,Clothing,109.1,0,1,2022-01-13,2022-02-15,33,Wrong Item Sent,UPS,0,0.2,20,38,52.6,4,0,105.74,0,0,0,0,3
48,2412,Silver,US,Tablet App,MacBook,Debit Card,Shoes,213.1,1,0,2022-07-09,2022-08-04,26,Changed Mind,OnTrac,0,61.2,8,61,13.1,0,0,188.55,0,0,0,0,0
52,1874,New,BR,Web Browser,iPhone,PayPal,Jewelry,99.01,0,0,2022-09-06,2022-09-28,22,Not As Described,OnTrac,0,36.1,0,68,0.0,1,0,94.78,0,0,0,0,0
44,1658,Gold,BR,Tablet App,iPad,Credit Card,Furniture,299.52,1,0,2023-04-08,2023-05-06,28,Quality Issue,FedEx,0,20.2,9,75,12.0,1,1,267.33,0,0,0,0,0
26,2252,Silver,US,Tablet App,iPad,PayPal,Shoes,96.67,0,0,2022-02-13,2022-02-18,5,Too Small,USPS,0,12.5,3,66,4.5,0,0,92.41,0,0,0,0,0
22,2384,Silver,IN,Mobile App,Windows PC,PayPal,Home & Kitchen,194.57,0,0,2022-01-26,2022-02-23,28,Too Small,DHL,0,4.7,4,12,33.3,6,3,185.66,0,0,0,0,3
34,810,Bronze,US,Web Browser,Android,Credit Card,Shoes,250.47,1,0,2023-02-04,2023-02-20,16,Changed Mind,OnTrac,0,21.1,0,7,0.0,0,1,245.49,0,0,0,0,0
25,2031,Bronze,US,Tablet App,iPhone,Gift Card,Clothing,192.07,0,0,2023-10-30,2023-11-12,13,Item Not Received,DHL,0,39.9,0,28,0.0,0,0,166.27,0,0,0,0,0
39,2068,Platinum,CA,Web Browser,iPad,PayPal,Shoes,111.66,0,0,2023-10-08,2023-11-07,30,Gift Duplicate,USPS,0,25.7,11,21,52.4,4,0,106.14,0,0,0,0,1
41,1886,New,US,Tablet App,Android,Buy Now Pay Later,Clothing,182.41,0,0,2023-03-07,2023-03-20,13,Arrived Late,DHL,0,4.4,1,69,1.4,1,0,166.98,0,0,0,0,0
29,1295,Silver,US,Mobile App,iPad,PayPal,Jewelry,655.09,1,0,2023-08-04,2023-08-09,5,Item Not Received,USPS,0,2.7,14,37,37.8,2,3,679.57,0,0,0,0,2
27,1956,Gold,US,Web Browser,Windows PC,Debit Card,Jewelry,77.77,0,0,2022-10-18,2022-11-08,21,Defective/Broken,DHL,0,0.4,0,37,0.0,1,1,66.81,0,0,0,0,0
33,1593,Bronze,US,Tablet App,iPhone,Credit Card,Clothing,262.18,1,0,2023-07-02,2023-07-22,20,Defective/Broken,OnTrac,0,56.1,0,76,0.0,1,1,257.73,0,0,0,0,0
67,1586,New,FR,Web Browser,MacBook,Buy Now Pay Later,Shoes,240.51,1,0,2022-05-27,2022-06-15,19,Not As Described,OnTrac,0,41.6,1,11,9.1,0,0,194.37,0,0,0,0,0
69,106,Silver,US,Tablet App,iPhone,Buy Now Pay Later,Tools,69.64,0,1,2022-11-15,2022-11-18,3,Too Large,OnTrac,0,7.0,0,67,0.0,1,0,62.83,0,0,0,0,0
42,1723,Platinum,DE,Tablet App,Android,Gift Card,Sports,37.37,0,0,2022-06-27,2022-07-27,30,Wrong Item Sent,OnTrac,0,69.5,0,6,0.0,0,1,30.18,0,0,0,0,0
27,735,Silver,AU,Mobile App,iPad,Crypto,Beauty,116.22,0,0,2023-01-30,2023-02-01,2,Wrong Item Sent,FedEx,0,50.1,0,9,0.0,0,1,105.02,0,0,0,0,0
30,985,Bronze,US,Web Browser,Android,Debit Card,Jewelry,237.56,1,0,2023-11-21,2023-12-09,18,Too Small,FedEx,0,31.7,3,32,9.4,0,0,204.54,0,0,0,0,0
24,1369,Bronze,FR,Mobile App,iPad,Credit Card,Clothing,51.5,0,0,2022-06-09,2022-06-11,2,Quality Issue,DHL,0,38.0,0,7,0.0,1,1,47.25,0,0,0,0,0
32,325,Platinum,CA,Tablet App,MacBook,Credit Card,Clothing,75.55,0,0,2022-02-04,2022-03-06,30,Quality Issue,FedEx,1,25.9,52,114,45.6,6,0,70.67,0,0,0,0,1
57,1919,Gold,US,Tablet App,iPhone,Buy Now Pay Later,Furniture,364.17,1,1,2023-09-03,2023-09-07,4,Wrong Item Sent,FedEx,0,4.8,3,7,42.9,2,5,378.72,0,0,0,0,2
68,1199,Platinum,AU,Web Browser,iPhone,Debit Card,Beauty,85.12,0,0,2022-06-07,2022-06-09,2,Item Not Received,DHL,0,8.2,1,50,2.0,1,1,74.08,0,0,0,0,0
18,1920,New,GB,Mobile App,Windows PC,PayPal,Books,432.83,1,1,2022-03-02,2022-03-06,4,Too Large,FedEx,1,2.2,4,8,50.0,3,5,420.01,0,0,0,0,2
29,294,Silver,CA,Web Browser,iPhone,PayPal,Sports,173.19,0,1,2022-04-04,2022-05-03,29,Changed Mind,DHL,0,48.6,2,52,3.8,1,1,144.87,0,0,0,0,0
33,2433,Bronze,US,Tablet App,Android,Debit Card,Home & Kitchen,165.07,0,0,2022-11-16,2022-12-09,23,Defective/Broken,OnTrac,0,60.5,6,56,10.7,1,1,158.1,0,0,0,0,0
59,1762,Bronze,CA,Web Browser,Windows PC,PayPal,Electronics,298.57,1,0,2022-03-20,2022-04-02,13,Not As Described,DHL,0,68.1,0,13,0.0,0,0,282.08,0,0,0,0,0
48,2316,New,US,Web Browser,iPhone,PayPal,Grocery,93.28,0,0,2023-03-23,2023-03-25,2,Not As Described,UPS,0,7.2,2,24,8.3,1,0,89.72,0,0,0,0,0
21,1561,Gold,DE,Web Browser,Android,Debit Card,Tools,259.84,1,0,2022-09-06,2022-10-02,26,Defective/Broken,UPS,0,23.8,0,42,0.0,1,0,252.65,0,0,0,0,0
26,329,Gold,AU,Mobile App,MacBook,Credit Card,Grocery,106.91,0,1,2022-04-28,2022-05-19,21,Too Large,UPS,1,48.6,9,12,75.0,5,4,102.75,0,0,0,0,1
66,1805,Silver,US,Tablet App,Android,Buy Now Pay Later,Electronics,293.98,1,0,2022-09-08,2022-09-24,16,Arrived Late,OnTrac,0,45.8,2,26,7.7,0,0,265.13,0,0,0,0,0
34,1303,Bronze,US,Web Browser,Android,PayPal,Toys,170.72,0,0,2022-01-03,2022-01-09,6,Not As Described,USPS,0,62.1,0,10,0.0,1,1,152.51,0,0,0,0,0
31,1007,New,IN,Mobile App,Windows PC,Credit Card,Furniture,186.77,0,0,2022-06-30,2022-07-17,17,Too Small,USPS,0,49.1,11,78,14.1,0,0,165.81,0,0,0,0,0
18,1752,Bronze,AU,Tablet App,Android,Debit Card,Clothing,136.6,0,0,2022-07-25,2022-08-24,30,Defective/Broken,DHL,1,33.0,74,89,83.1,5,1,131.33,0,0,0,0,1
57,1415,New,BR,Mobile App,iPhone,Credit Card,Furniture,245.22,1,0,2022-08-23,2022-08-30,7,Too Small,DHL,0,52.6,1,79,1.3,0,0,206.21,0,0,0,0,0
50,143,Platinum,FR,Tablet App,iPad,Credit Card,Grocery,173.46,0,0,2023-09-23,2023-11-03,41,Gift Duplicate,DHL,0,3.4,5,15,33.3,4,2,168.22,0,0,0,0,3
66,599,Gold,CA,Web Browser,iPad,Credit Card,Clothing,144.35,0,0,2022-12-09,2023-01-02,24,Defective/Broken,DHL,0,40.3,1,79,1.3,0,1,133.44,0,0,0,0,0
19,1719,Gold,FR,Mobile App,iPad,PayPal,Clothing,45.97,0,0,2022-06-09,2022-06-27,18,Not As Described,DHL,0,59.7,2,30,6.7,0,0,42.73,0,0,0,0,0
60,1721,Silver,CA,Tablet App,iPad,Debit Card,Tools,222.98,1,0,2023-07-12,2023-08-02,21,Defective/Broken,UPS,0,2.3,2,56,3.6,0,0,214.45,0,0,0,0,0
37,1201,Silver,US,Mobile App,iPhone,Buy Now Pay Later,Books,288.57,1,0,2023-11-16,2023-12-04,18,Wrong Item Sent,FedEx,0,26.2,7,53,13.2,1,1,270.06,0,0,0,0,0
33,2227,New,BR,Tablet App,iPhone,Credit Card,Shoes,129.93,0,0,2023-03-29,2023-04-07,9,Arrived Late,DHL,0,68.2,2,44,4.5,1,1,120.01,0,0,0,0,0
61,2386,Silver,US,Web Browser,iPad,Credit Card,Clothing,201.02,1,0,2023-09-23,2023-09-28,5,Not As Described,DHL,0,61.0,2,44,4.5,1,1,195.47,0,0,0,0,0
22,731,Silver,CA,Mobile App,iPad,Credit Card,Home & Kitchen,120.85,0,0,2023-01-22,2023-01-27,5,Quality Issue,DHL,1,4.6,15,32,46.9,5,5,121.03,0,0,0,0,2
46,2452,New,CA,Tablet App,iPhone,Debit Card,Electronics,145.58,0,1,2022-02-26,2022-03-10,12,Wrong Item Sent,UPS,0,18.1,0,3,0.0,0,0,120.19,0,0,0,0,0
32,765,Silver,US,Mobile App,MacBook,Credit Card,Books,235.69,1,1,2023-09-05,2023-10-03,28,Quality Issue,FedEx,0,2.7,23,60,38.3,5,4,234.65,0,0,0,0,3
45,1067,Bronze,FR,Web Browser,Windows PC,Gift Card,Jewelry,117.96,0,1,2023-01-22,2023-02-07,16,Not As Described,OnTrac,0,0.7,0,7,0.0,0,1,98.44,0,0,0,0,0
31,1881,Gold,CA,Web Browser,iPad,Debit Card,Electronics,98.85,0,0,2023-03-02,2023-03-06,4,Not As Described,FedEx,0,5.1,52,99,52.5,5,2,94.29,0,0,0,0,1
47,875,New,US,Tablet App,Android,PayPal,Clothing,82.95,0,0,2022-03-17,2022-03-24,7,Wrong Item Sent,UPS,0,20.2,1,9,11.1,0,0,82.07,0,0,0,0,0
23,260,Bronze,AU,Tablet App,iPhone,Credit Card,Grocery,237.17,1,0,2022-02-24,2022-03-02,6,Quality Issue,OnTrac,0,42.5,3,67,4.5,1,0,202.56,0,0,0,0,0
42,1356,Silver,US,Mobile App,MacBook,Debit Card,Shoes,669.35,1,1,2022-07-27,2022-07-31,4,Item Not Received,FedEx,0,3.0,29,46,63.0,2,5,655.92,0,0,0,0,2
25,835,Silver,US,Mobile App,Android,Credit Card,Clothing,203.66,1,0,2023-02-24,2023-03-20,24,Wrong Item Sent,DHL,0,2.6,1,50,2.0,1,0,197.9,1,0,0,1,0
52,1954,Gold,US,Web Browser,iPhone,Debit Card,Clothing,123.67,0,0,2022-07-28,2022-08-17,20,Accidental Order,FedEx,0,13.0,6,47,12.8,1,1,121.52,0,0,0,0,0
33,1366,Silver,DE,Web Browser,Android,Debit Card,Clothing,74.75,0,1,2023-09-30,2023-10-16,16,Not As Described,UPS,1,56.3,35,58,60.3,2,3,71.34,0,0,0,0,1
20,593,New,US,Web Browser,iPad,Debit Card,Jewelry,491.67,1,1,2022-10-22,2022-11-23,32,Changed Mind,FedEx,0,2.7,12,45,26.7,5,2,458.92,0,0,0,0,3
54,1410,Platinum,DE,Web Browser,iPhone,Credit Card,Toys,25.66,0,0,2022-02-15,2022-03-08,21,Quality Issue,UPS,0,28.3,7,72,9.7,1,0,24.69,0,0,0,0,0
50,1639,New,CA,Web Browser,Windows PC,Credit Card,Home & Kitchen,65.4,0,0,2023-03-05,2023-03-08,3,Wrong Item Sent,USPS,0,23.9,1,54,1.9,1,0,55.74,0,0,0,0,0
34,179,Silver,GB,Mobile App,iPad,Debit Card,Shoes,275.22,1,0,2022-06-02,2022-06-15,13,Too Small,DHL,0,21.4,9,69,13.0,0,1,240.95,0,0,0,0,0
54,413,Silver,DE,Tablet App,iPad,Credit Card,Clothing,211.06,1,1,2022-01-08,2022-02-07,30,Changed Mind,OnTrac,0,3.7,20,48,41.7,5,5,199.48,0,0,0,0,3
35,1394,Gold,GB,Mobile App,MacBook,Credit Card,Toys,291.62,1,1,2022-07-05,2022-07-23,18,Gift Duplicate,FedEx,0,17.0,0,21,0.0,1,0,240.94,1,0,0,1,0
46,176,Silver,GB,Tablet App,iPad,Credit Card,Shoes,421.67,1,0,2023-05-27,2023-05-30,3,Quality Issue,DHL,0,1.8,23,40,57.5,5,0,441.14,0,0,0,0,2
24,2495,Silver,FR,Web Browser,iPhone,Credit Card,Home & Kitchen,154.42,0,0,2023-03-11,2023-03-20,9,Changed Mind,OnTrac,0,48.4,38,82,46.3,4,1,144.7,0,0,0,0,1
59,1059,Silver,BR,Tablet App,iPad,Credit Card,Books,101.91,0,0,2022-03-23,2022-04-10,18,Defective/Broken,OnTrac,0,59.8,1,8,12.5,1,1,86.43,0,0,0,0,0
57,2185,Gold,US,Web Browser,iPhone,Debit Card,Sports,209.59,1,0,2022-09-29,2022-10-04,5,Defective/Broken,UPS,0,2.8,0,15,0.0,0,1,189.77,0,0,0,0,0
19,925,Silver,FR,Mobile App,Windows PC,Credit Card,Jewelry,166.57,0,0,2023-06-05,2023-06-28,23,Wrong Item Sent,UPS,0,37.1,4,45,8.9,1,1,136.08,0,0,0,0,0
64,2059,Bronze,CA,Tablet App,iPhone,Credit Card,Books,47.93,0,0,2023-02-15,2023-03-03,16,Not As Described,DHL,0,68.6,1,76,1.3,1,1,47.81,0,0,0,0,0
28,2398,Bronze,US,Mobile App,Android,Credit Card,Beauty,294.13,1,0,2022-10-19,2022-11-15,27,Too Small,DHL,0,6.7,2,39,5.1,0,1,284.32,0,0,0,0,0
68,2196,Gold,US,Tablet App,iPad,Credit Card,Books,33.01,0,0,2022-02-14,2022-03-02,16,Quality Issue,UPS,0,7.8,2,42,4.8,0,0,29.78,0,0,0,0,0
65,2220,New,DE,Web Browser,MacBook,Credit Card,Beauty,282.99,1,0,2023-04-06,2023-04-20,14,Found Better Price,FedEx,0,27.6,2,29,6.9,1,0,262.48,0,0,0,0,0
39,2450,Silver,CA,Web Browser,iPhone,Credit Card,Electronics,137.27,0,0,2023-05-15,2023-06-11,27,Item Not Received,USPS,0,30.2,2,36,5.6,0,0,123.68,0,0,0,0,0
61,2,New,US,Tablet App,Android,Credit Card,Jewelry,148.7,0,0,2022-12-31,2023-01-30,30,Changed Mind,USPS,0,17.0,1,79,1.3,0,0,120.24,0,0,0,0,0
68,1114,Bronze,US,Tablet App,iPad,PayPal,Shoes,273.55,1,0,2023-05-27,2023-06-25,29,Defective/Broken,OnTrac,0,21.3,7,58,12.1,0,0,220.09,0,0,0,0,0
55,950,Bronze,DE,Web Browser,iPhone,Gift Card,Books,74.53,0,0,2022-12-20,2022-12-24,4,Quality Issue,DHL,0,58.4,1,20,5.0,1,1,66.73,0,0,0,0,0
69,1127,New,US,Web Browser,iPhone,Credit Card,Clothing,287.82,1,0,2022-05-26,2022-06-23,28,Defective/Broken,USPS,0,17.3,9,79,11.4,1,1,243.06,0,0,0,0,0
19,628,Silver,US,Web Browser,Windows PC,PayPal,Electronics,234.33,1,0,2023-01-31,2023-02-22,22,Changed Mind,UPS,0,54.1,5,67,7.5,1,1,229.13,0,0,0,0,0
53,2114,Bronze,CA,Mobile App,Android,Debit Card,Shoes,176.71,0,0,2022-09-12,2022-10-04,22,Too Large,OnTrac,0,68.3,3,75,4.0,0,1,145.88,0,0,0,0,0
36,922,New,US,Tablet App,iPhone,Credit Card,Beauty,138.79,0,0,2023-10-27,2023-11-14,18,Arrived Late,DHL,0,26.3,5,60,8.3,1,1,120.52,0,0,0,0,0
32,197,Silver,US,Tablet App,Android,PayPal,Toys,297.9,1,0,2022-09-11,2022-09-20,9,Too Large,DHL,0,35.2,2,19,10.5,0,0,269.08,0,0,0,0,0
46,967,Bronze,CA,Tablet App,iPhone,Debit Card,Electronics,290.5,1,1,2023-10-22,2023-11-06,15,Not As Described,FedEx,0,42.5,6,73,8.2,1,1,248.47,0,0,0,0,0
70,1287,Gold,US,Mobile App,Windows PC,PayPal,Clothing,248.32,1,0,2022-03-19,2022-03-25,6,Found Better Price,FedEx,0,59.5,2,33,6.1,0,0,212.83,0,0,0,0,0
63,1060,Bronze,CA,Tablet App,MacBook,Gift Card,Electronics,76.61,0,0,2022-12-18,2023-01-04,17,Too Small,UPS,0,31.6,2,42,4.8,1,0,67.45,0,0,0,0,0
46,1613,Bronze,IN,Tablet App,Android,Buy Now Pay Later,Clothing,245.63,1,0,2023-03-26,2023-05-13,48,Found Better Price,DHL,0,4.5,1,7,14.3,5,1,224.96,0,0,0,0,3
67,1313,Gold,GB,Web Browser,Android,Buy Now Pay Later,Clothing,436.14,1,1,2023-08-23,2023-08-25,2,Not As Described,DHL,1,3.0,27,40,67.5,4,3,421.49,0,0,0,0,2
33,2035,Bronze,BR,Tablet App,Android,Credit Card,Shoes,151.41,0,0,2022-08-04,2022-08-21,17,Defective/Broken,DHL,0,48.4,7,57,12.3,1,0,130.06,0,0,0,0,0
35,143,New,CA,Mobile App,Android,PayPal,Furniture,271.56,1,0,2023-04-29,2023-05-26,27,Quality Issue,UPS,0,26.9,2,80,2.5,1,0,254.14,0,0,0,0,0
27,1573,Silver,GB,Tablet App,iPhone,Credit Card,Electronics,149.46,0,0,2022-11-27,2022-12-16,19,Item Not Received,USPS,0,34.0,3,27,11.1,0,1,122.85,0,0,0,0,0
65,2231,New,US,Mobile App,MacBook,PayPal,Furniture,49.92,0,0,2022-09-24,2022-09-25,1,Quality Issue,DHL,0,23.5,1,61,1.6,0,1,42.07,0,0,0,0,0
25,883,New,CA,Mobile App,MacBook,Credit Card,Toys,249.51,1,1,2023-01-09,2023-01-23,14,Found Better Price,FedEx,0,4.5,6,66,9.1,0,0,220.08,0,0,0,0,0
39,2081,Silver,US,Web Browser,iPad,Debit Card,Toys,39.48,0,0,2022-10-14,2022-10-25,11,Changed Mind,OnTrac,0,45.8,40,56,71.4,1,5,36.39,0,0,0,0,1
25,42,Silver,CA,Web Browser,Android,Debit Card,Shoes,177.52,0,0,2022-06-15,2022-06-27,12,Accidental Order,USPS,0,23.7,57,100,57.0,4,5,168.27,0,0,0,0,1
65,1977,New,US,Mobile App,Android,Credit Card,Jewelry,146.39,0,0,2023-10-02,2023-10-13,11,Wrong Item Sent,DHL,0,62.9,4,74,5.4,1,0,123.78,0,0,0,0,0
40,2107,Gold,GB,Tablet App,Windows PC,Credit Card,Clothing,104.35,0,0,2023-05-05,2023-05-10,5,Too Small,OnTrac,0,23.0,1,46,2.2,1,0,87.45,0,0,0,0,0
60,1745,New,AU,Tablet App,MacBook,Debit Card,Shoes,64.81,0,1,2023-10-13,2023-10-22,9,Changed Mind,DHL,0,64.4,3,52,5.8,0,1,56.51,1,0,0,1,0
36,1643,New,US,Mobile App,Android,PayPal,Electronics,113.21,0,0,2022-08-03,2022-08-15,12,Too Large,OnTrac,0,40.2,1,24,4.2,1,1,99.49,0,0,0,0,0
43,2149,Silver,US,Web Browser,Windows PC,Debit Card,Toys,53.7,0,1,2023-09-16,2023-10-02,16,Found Better Price,FedEx,1,20.6,21,29,72.4,2,0,50.52,0,0,0,0,1
26,595,Bronze,BR,Mobile App,MacBook,Credit Card,Toys,719.86,1,0,2023-01-10,2023-01-12,2,Item Not Received,UPS,0,3.9,27,46,58.7,1,4,744.89,0,0,0,0,2
45,1062,New,CA,Tablet App,iPad,Debit Card,Clothing,125.77,0,0,2022-01-26,2022-02-11,16,Changed Mind,DHL,0,47.2,5,68,7.4,1,0,102.69,0,0,0,0,0
19,1530,Platinum,GB,Web Browser,Android,Credit Card,Sports,182.84,0,0,2022-03-30,2022-04-14,15,Not As Described,OnTrac,0,37.7,1,16,6.2,1,1,174.55,0,0,0,0,0
42,16,New,US,Mobile App,iPad,PayPal,Home & Kitchen,22.23,0,0,2022-07-13,2022-07-17,4,Defective/Broken,DHL,0,5.3,0,3,0.0,1,1,20.76,0,0,0,0,0
45,1026,Gold,BR,Mobile App,iPhone,Gift Card,Sports,178.11,0,1,2023-11-10,2023-12-20,40,Too Large,OnTrac,0,0.2,12,22,54.5,2,2,173.07,0,0,0,0,3
29,843,New,US,Mobile App,iPad,Debit Card,Sports,205.82,1,0,2023-05-05,2023-05-24,19,Defective/Broken,OnTrac,0,3.0,6,60,10.0,1,0,192.57,0,0,0,0,0
38,1929,Platinum,GB,Mobile App,iPad,Crypto,Home & Kitchen,193.11,0,0,2022-02-25,2022-03-02,5,Wrong Item Sent,FedEx,0,0.7,33,49,67.3,1,3,196.12,0,0,0,0,2
63,1480,New,US,Web Browser,MacBook,Gift Card,Electronics,288.06,1,0,2022-03-27,2022-04-12,16,Found Better Price,UPS,0,31.5,1,19,5.3,0,0,282.3,0,0,0,0,0
45,1333,Gold,US,Web Browser,MacBook,Credit Card,Beauty,293.25,1,0,2023-06-12,2023-07-10,28,Wrong Item Sent,FedEx,0,30.8,0,2,0.0,0,1,252.39,0,0,0,0,0
67,1748,Bronze,IN,Mobile App,Windows PC,PayPal,Books,28.62,0,1,2023-09-05,2023-09-08,3,Wrong Item Sent,OnTrac,1,18.8,46,72,63.9,4,3,26.58,0,0,0,0,1
20,73,New,US,Web Browser,iPad,Debit Card,Home & Kitchen,290.4,1,0,2023-08-25,2023-09-20,26,Too Large,DHL,0,42.9,3,47,6.4,1,0,248.86,0,0,0,0,0
42,1571,New,US,Mobile App,MacBook,Gift Card,Books,174.04,0,0,2022-06-26,2022-07-25,29,Wrong Item Sent,OnTrac,0,45.6,0,12,0.0,1,1,140.09,0,0,0,0,0
55,19,New,FR,Mobile App,iPhone,Debit Card,Clothing,213.44,1,0,2022-12-22,2022-12-28,6,Quality Issue,USPS,0,41.5,0,13,0.0,1,1,210.91,0,0,0,0,0
59,604,Gold,CA,Tablet App,Android,Buy Now Pay Later,Beauty,436.3,1,0,2023-06-19,2023-06-24,5,Changed Mind,FedEx,1,1.9,5,10,50.0,2,0,417.87,0,0,0,0,2
68,43,Silver,DE,Tablet App,iPhone,Credit Card,Clothing,159.21,0,0,2023-05-27,2023-06-12,16,Defective/Broken,OnTrac,0,47.9,4,74,5.4,0,1,151.04,0,0,0,0,0
28,1281,New,US,Mobile App,iPhone,PayPal,Sports,127.53,0,1,2023-06-06,2023-07-03,27,Wrong Item Sent,DHL,0,61.1,0,6,0.0,0,0,103.59,0,0,0,0,0
42,1871,Silver,US,Tablet App,Windows PC,Buy Now Pay Later,Sports,199.6,0,0,2022-04-18,2022-05-08,20,Too Small,FedEx,0,57.1,9,76,11.8,0,0,193.55,0,0,0,0,0
69,1080,Silver,DE,Mobile App,MacBook,Buy Now Pay Later,Grocery,290.81,1,1,2022-01-11,2022-01-18,7,Changed Mind,OnTrac,0,41.4,1,52,1.9,1,1,253.4,0,0,0,0,0
26,2208,Platinum,BR,Tablet App,iPhone,Credit Card,Sports,142.0,0,1,2022-09-22,2022-10-05,13,Defective/Broken,USPS,0,54.0,57,77,74.0,2,4,130.27,0,0,0,0,1
